number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
627,0.832379,0.167621,19.817484,0.001153,0.832381
628,0.833526,0.166474,19.818846,0.001146,0.833527
629,0.834665,0.165335,19.820198,0.001139,0.834666
630,0.835797,0.164203,19.82154,0.001132,0.835798
631,0.836922,0.163078,19.822872,0.001125,0.836923
632,0.83804,0.16196,19.824194,0.001118,0.838041
633,0.839151,0.160849,19.825506,0.001111,0.839152
634,0.840255,0.159745,19.826808,0.001104,0.840256
635,0.841353,0.158647,19.8281,0.001097,0.841353
636,0.842443,0.157557,19.829383,0.00109,0.842443
637,0.843527,0.156473,19.830656,0.001084,0.843527
638,0.844604,0.155396,19.83192,0.001077,0.844604
639,0.845674,0.154326,19.833175,0.00107,0.845674
640,0.846737,0.153263,19.834419,0.001063,0.846737
641,0.847794,0.152206,19.835655,0.001057,0.847794
642,0.848844,0.151156,19.836882,0.00105,0.848844
643,0.849888,0.150112,19.838099,0.001043,0.849887
644,0.850924,0.149076,19.839307,0.001037,0.850924
645,0.851955,0.148045,19.840506,0.00103,0.851954
646,0.852979,0.147021,19.841697,0.001024,0.852978
647,0.853996,0.146004,19.842878,0.001017,0.853995
648,0.855007,0.144993,19.84405,0.001011,0.855006
649,0.856011,0.143989,19.845214,0.001004,0.85601
650,0.857009,0.142991,19.846369,0.000998,0.857008
651,0.858001,0.141999,19.847516,0.000992,0.858
652,0.858986,0.141014,19.848654,0.000985,0.858985
653,0.859965,0.140035,19.849783,0.000979,0.859964
654,0.860938,0.139062,19.850904,0.000973,0.860937
655,0.861905,0.138095,19.852017,0.000967,0.861904
656,0.862865,0.137135,19.853121,0.00096,0.862864
657,0.863819,0.136181,19.854217,0.000954,0.863818
658,0.864767,0.135233,19.855305,0.000948,0.864766
659,0.865709,0.134291,19.856385,0.000942,0.865708
660,0.866645,0.133355,19.857457,0.000936,0.866644
661,0.867575,0.132425,19.858521,0.00093,0.867574
662,0.868499,0.131501,19.859576,0.000924,0.868498
663,0.869416,0.130584,19.860624,0.000918,0.869416
664,0.870328,0.129672,19.861665,0.000912,0.870328
665,0.871234,0.128766,19.862697,0.000906,0.871234
666,0.872135,0.127865,19.863722,0.0009,0.872134
667,0.873029,0.126971,19.864739,0.000894,0.873028
668,0.873917,0.126083,19.865748,0.000888,0.873916
669,0.8748,0.1252,19.86675,0.000883,0.874799
670,0.875677,0.124323,19.867744,0.000877,0.875676
671,0.876548,0.123452,19.868731,0.000871,0.876547
672,0.877414,0.122586,19.869711,0.000865,0.877412
673,0.878273,0.121727,19.870683,0.00086,0.878272
674,0.879128,0.120872,19.871648,0.000854,0.879126
675,0.879976,0.120024,19.872606,0.000849,0.879975
676,0.880819,0.119181,19.873557,0.000843,0.880818
677,0.881657,0.118343,19.8745,0.000838,0.881656
678,0.882489,0.117511,19.875437,0.000832,0.882488
679,0.883315,0.116685,19.876367,0.000827,0.883315
680,0.884136,0.115864,19.877289,0.000821,0.884136
681,0.884952,0.115048,19.878205,0.000816,0.884952
682,0.885762,0.114238,19.879114,0.00081,0.885762
683,0.886567,0.113433,19.880016,0.000805,0.886567
684,0.887367,0.112633,19.880911,0.0008,0.887367
685,0.888161,0.111839,19.8818,0.000794,0.888161
686,0.88895,0.11105,19.882682,0.000789,0.88895
687,0.889734,0.110266,19.883558,0.000784,0.889734
688,0.890513,0.109487,19.884427,0.000779,0.890513
689,0.891286,0.108714,19.885289,0.000773,0.891286
690,0.892054,0.107946,19.886145,0.000768,0.892054
691,0.892817,0.107183,19.886995,0.000763,0.892817
692,0.893576,0.106424,19.887838,0.000758,0.893575
693,0.894329,0.105671,19.888675,0.000753,0.894328
694,0.895077,0.104923,19.889506,0.000748,0.895076
695,0.89582,0.10418,19.890331,0.000743,0.895819
696,0.896558,0.103442,19.891149,0.000738,0.896557
697,0.897291,0.102709,19.891961,0.000733,0.89729
698,0.898019,0.101981,19.892768,0.000728,0.898018
699,0.898742,0.101258,19.893568,0.000723,0.898741
700,0.899461,0.100539,19.894362,0.000718,0.899459
701,0.900174,0.099826,19.89515,0.000714,0.900173
702,0.900883,0.099117,19.895933,0.000709,0.900882
703,0.901587,0.098413,19.89671,0.000704,0.901586
704,0.902287,0.097713,19.89748,0.000699,0.902285
705,0.902981,0.097019,19.898245,0.000695,0.90298
706,0.903671,0.096329,19.899005,0.00069,0.90367
707,0.904356,0.095644,19.899758,0.000685,0.904355
708,0.905037,0.094963,19.900507,0.000681,0.905036
709,0.905713,0.094287,19.901249,0.000676,0.905712
710,0.906385,0.093615,19.901986,0.000671,0.906383
711,0.907051,0.092949,19.902717,0.000667,0.90705
712,0.907714,0.092286,19.903443,0.000662,0.907712
713,0.908372,0.091628,19.904164,0.000658,0.90837
714,0.909025,0.090975,19.904879,0.000653,0.909023
715,0.909674,0.090326,19.905589,0.000649,0.909672
716,0.910319,0.089681,19.906294,0.000645,0.910317
717,0.910959,0.089041,19.906993,0.00064,0.910957
718,0.911595,0.088405,19.907687,0.000636,0.911593
719,0.912226,0.087774,19.908376,0.000632,0.912225
720,0.912854,0.087146,19.90906,0.000627,0.912852
721,0.913477,0.086523,19.909738,0.000623,0.913475
722,0.914095,0.085905,19.910412,0.000619,0.914094
723,0.91471,0.08529,19.91108,0.000614,0.914708
724,0.91532,0.08468,19.911744,0.00061,0.915318
725,0.915926,0.084074,19.912403,0.000606,0.915924
726,0.916528,0.083472,19.913056,0.000602,0.916526
727,0.917126,0.082874,19.913705,0.000598,0.917124
728,0.91772,0.08228,19.914349,0.000594,0.917718
729,0.918309,0.081691,19.914988,0.00059,0.918308
730,0.918895,0.081105,19.915623,0.000586,0.918894
731,0.919476,0.080524,19.916252,0.000582,0.919476
732,0.920054,0.079946,19.916877,0.000578,0.920054
733,0.920628,0.079372,19.917498,0.000574,0.920628
734,0.921197,0.078803,19.918113,0.00057,0.921198
735,0.921763,0.078237,19.918725,0.000566,0.921764
736,0.922325,0.077675,19.919331,0.000562,0.922326
737,0.922883,0.077117,19.919933,0.000558,0.922884
738,0.923437,0.076563,19.920531,0.000554,0.923438
739,0.923987,0.076013,19.921124,0.00055,0.923988
740,0.924534,0.075466,19.921712,0.000547,0.924535
741,0.925077,0.074923,19.922297,0.000543,0.925078
742,0.925616,0.074384,19.922876,0.000539,0.925617
743,0.926151,0.073849,19.923452,0.000535,0.926152
744,0.926682,0.073318,19.924023,0.000532,0.926684
745,0.92721,0.07279,19.92459,0.000528,0.927212
746,0.927734,0.072266,19.925153,0.000524,0.927736
747,0.928255,0.071745,19.925712,0.000521,0.928257
748,0.928772,0.071228,19.926266,0.000517,0.928774
749,0.929285,0.070715,19.926816,0.000513,0.929287
750,0.929795,0.070205,19.927362,0.00051,0.929797
751,0.930301,0.069699,19.927904,0.000506,0.930303
752,0.930804,0.069196,19.928442,0.000503,0.930806
753,0.931303,0.068697,19.928976,0.000499,0.931305
754,0.931799,0.068201,19.929506,0.000496,0.931801
755,0.932291,0.067709,19.930033,0.000492,0.932293
756,0.93278,0.06722,19.930555,0.000489,0.932782
757,0.933266,0.066734,19.931073,0.000485,0.933267
758,0.933748,0.066252,19.931587,0.000482,0.933749
759,0.934226,0.065774,19.932098,0.000479,0.934228
760,0.934702,0.065298,19.932605,0.000475,0.934703
761,0.935174,0.064826,19.933108,0.000472,0.935175
762,0.935643,0.064357,19.933607,0.000469,0.935644
763,0.936108,0.063892,19.934102,0.000465,0.936109
764,0.93657,0.06343,19.934594,0.000462,0.936571
765,0.937029,0.062971,19.935082,0.000459,0.93703
766,0.937485,0.062515,19.935567,0.000456,0.937486
767,0.937938,0.062062,19.936047,0.000453,0.937939
768,0.938387,0.061613,19.936525,0.000449,0.938388
769,0.938833,0.061167,19.936998,0.000446,0.938834
770,0.939276,0.060724,19.937469,0.000443,0.939277
771,0.939716,0.060284,19.937935,0.00044,0.939717
772,0.940153,0.059847,19.938398,0.000437,0.940154
773,0.940587,0.059413,19.938858,0.000434,0.940588
774,0.941018,0.058982,19.939314,0.000431,0.941019
775,0.941446,0.058554,19.939767,0.000428,0.941447
776,0.94187,0.05813,19.940217,0.000425,0.941872
777,0.942292,0.057708,19.940663,0.000422,0.942294
778,0.942711,0.057289,19.941106,0.000419,0.942713
779,0.943127,0.056873,19.941545,0.000416,0.943129
780,0.94354,0.05646,19.941981,0.000413,0.943542
781,0.94395,0.05605,19.942414,0.00041,0.943952
782,0.944357,0.055643,19.942844,0.000407,0.944359
783,0.944761,0.055239,19.943271,0.000404,0.944763
784,0.945162,0.054838,19.943694,0.000401,0.945164
785,0.945561,0.054439,19.944114,0.000399,0.945563
786,0.945956,0.054044,19.944531,0.000396,0.945959
787,0.946349,0.053651,19.944945,0.000393,0.946352
788,0.94674,0.05326,19.945356,0.00039,0.946742
789,0.947127,0.052873,19.945764,0.000387,0.947129
790,0.947511,0.052489,19.946169,0.000385,0.947514
791,0.947893,0.052107,19.94657,0.000382,0.947896
792,0.948273,0.051727,19.946969,0.000379,0.948275
793,0.948649,0.051351,19.947365,0.000377,0.948652
794,0.949023,0.050977,19.947758,0.000374,0.949026
795,0.949394,0.050606,19.948147,0.000371,0.949397
796,0.949763,0.050237,19.948534,0.000369,0.949766
797,0.950129,0.049871,19.948919,0.000366,0.950132
798,0.950492,0.049508,19.9493,0.000363,0.950495
799,0.950853,0.049147,19.949678,0.000361,0.950856
800,0.951211,0.048789,19.950054,0.000358,0.951214
801,0.951566,0.048434,19.950426,0.000356,0.95157
802,0.95192,0.04808,19.950796,0.000353,0.951923
803,0.95227,0.04773,19.951163,0.000351,0.952274
804,0.952618,0.047382,19.951528,0.000348,0.952622
805,0.952964,0.047036,19.95189,0.000346,0.952968
806,0.953307,0.046693,19.952249,0.000343,0.953311
807,0.953648,0.046352,19.952605,0.000341,0.953652
808,0.953986,0.046014,19.952959,0.000338,0.95399
809,0.954322,0.045678,19.95331,0.000336,0.954326
810,0.954655,0.045345,19.953658,0.000333,0.954659
811,0.954987,0.045013,19.954004,0.000331,0.95499
812,0.955315,0.044685,19.954347,0.000329,0.955319
813,0.955642,0.044358,19.954688,0.000326,0.955645
814,0.955966,0.044034,19.955026,0.000324,0.955969
815,0.956287,0.043713,19.955362,0.000322,0.956291
816,0.956607,0.043393,19.955695,0.000319,0.95661
817,0.956924,0.043076,19.956026,0.000317,0.956927
818,0.957239,0.042761,19.956354,0.000315,0.957242
