number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
1083,0.817798,0.182202,669.799135,0.001237,0.817794
1084,0.819028,0.180972,669.800634,0.00123,0.819024
1085,0.82025,0.17975,669.802121,0.001223,0.820247
1086,0.821466,0.178534,669.803598,0.001215,0.821462
1087,0.822674,0.177326,669.805064,0.001208,0.82267
1088,0.823874,0.176126,669.806518,0.001201,0.823871
1089,0.825068,0.174932,669.807962,0.001193,0.825064
1090,0.826254,0.173746,669.809395,0.001186,0.82625
1091,0.827433,0.172567,669.810818,0.001179,0.827429
1092,0.828605,0.171395,669.81223,0.001172,0.828601
1093,0.82977,0.17023,669.813631,0.001165,0.829766
1094,0.830927,0.169073,669.815022,0.001158,0.830924
1095,0.832078,0.167922,669.816402,0.001151,0.832075
1096,0.833221,0.166779,669.817772,0.001144,0.833219
1097,0.834358,0.165642,669.819132,0.001137,0.834356
1098,0.835488,0.164512,669.820482,0.00113,0.835486
1099,0.83661,0.16339,669.821822,0.001123,0.836609
1100,0.837726,0.162274,669.823151,0.001116,0.837725
1101,0.838835,0.161165,669.824471,0.001109,0.838834
1102,0.839937,0.160063,669.825781,0.001102,0.839936
1103,0.841032,0.158968,669.827081,0.001095,0.841031
1104,0.842121,0.157879,669.828372,0.001088,0.842119
1105,0.843202,0.156798,669.829652,0.001082,0.843201
1106,0.844277,0.155723,669.830924,0.001075,0.844276
1107,0.845346,0.154654,669.832185,0.001068,0.845344
1108,0.846407,0.153593,669.833438,0.001062,0.846406
1109,0.847462,0.152538,669.834681,0.001055,0.847461
1110,0.848511,0.151489,669.835915,0.001048,0.848509
1111,0.849553,0.150447,669.837139,0.001042,0.849551
1112,0.850588,0.149412,669.838354,0.001035,0.850586
1113,0.851617,0.148383,669.839561,0.001029,0.851615
1114,0.852639,0.147361,669.840758,0.001022,0.852637
1115,0.853655,0.146345,669.841946,0.001016,0.853653
1116,0.854665,0.145335,669.843126,0.00101,0.854663
1117,0.855668,0.144332,669.844297,0.001003,0.855666
1118,0.856665,0.143335,669.845459,0.000997,0.856663
1119,0.857655,0.142345,669.846612,0.000991,0.857654
1120,0.85864,0.14136,669.847757,0.000984,0.858638
1121,0.859618,0.140382,669.848893,0.000978,0.859616
1122,0.86059,0.13941,669.85002,0.000972,0.860588
1123,0.861555,0.138445,669.85114,0.000966,0.861554
1124,0.862515,0.137485,669.852251,0.00096,0.862514
1125,0.863468,0.136532,669.853353,0.000953,0.863467
1126,0.864416,0.135584,669.854448,0.000947,0.864414
1127,0.865357,0.134643,669.855534,0.000941,0.865355
1128,0.866292,0.133708,669.856612,0.000935,0.86629
1129,0.867221,0.132779,669.857682,0.000929,0.867219
1130,0.868145,0.131855,669.858744,0.000923,0.868142
1131,0.869062,0.130938,669.859798,0.000917,0.869059
1132,0.869974,0.130026,669.860844,0.000911,0.86997
1133,0.870879,0.129121,669.861883,0.000906,0.870876
1134,0.871779,0.128221,669.862914,0.0009,0.871776
1135,0.872673,0.127327,669.863937,0.000894,0.87267
1136,0.873561,0.126439,669.864952,0.000888,0.873558
1137,0.874443,0.125557,669.86596,0.000882,0.87444
1138,0.87532,0.12468,669.86696,0.000877,0.875317
1139,0.876191,0.123809,669.867953,0.000871,0.876188
1140,0.877057,0.122943,669.868938,0.000865,0.877053
1141,0.877916,0.122084,669.869917,0.00086,0.877913
1142,0.87877,0.12123,669.870887,0.000854,0.878767
1143,0.879619,0.120381,669.871851,0.000849,0.879616
1144,0.880462,0.119538,669.872807,0.000843,0.880459
1145,0.8813,0.1187,669.873756,0.000838,0.881297
1146,0.882132,0.117868,669.874698,0.000832,0.882129
1147,0.882958,0.117042,669.875634,0.000827,0.882956
1148,0.88378,0.11622,669.876562,0.000821,0.883777
1149,0.884596,0.115404,669.877483,0.000816,0.884593
1150,0.885406,0.114594,669.878397,0.000811,0.885404
1151,0.886211,0.113789,669.879305,0.000805,0.886209
1152,0.887011,0.112989,669.880205,0.0008,0.887009
1153,0.887806,0.112194,669.881099,0.000795,0.887804
1154,0.888595,0.111405,669.881987,0.000789,0.888593
1155,0.889379,0.110621,669.882867,0.000784,0.889377
1156,0.890158,0.109842,669.883741,0.000779,0.890156
1157,0.890932,0.109068,669.884609,0.000774,0.89093
1158,0.891701,0.108299,669.88547,0.000769,0.891699
1159,0.892465,0.107535,669.886325,0.000764,0.892463
1160,0.893223,0.106777,669.887173,0.000759,0.893222
1161,0.893977,0.106023,669.888015,0.000754,0.893976
1162,0.894725,0.105275,669.888851,0.000749,0.894725
1163,0.895469,0.104531,669.88968,0.000744,0.895469
1164,0.896208,0.103792,669.890504,0.000739,0.896208
1165,0.896941,0.103059,669.891321,0.000734,0.896942
1166,0.89767,0.10233,669.892132,0.000729,0.897671
1167,0.898394,0.101606,669.892937,0.000724,0.898395
1168,0.899113,0.100887,669.893736,0.000719,0.899114
1169,0.899828,0.100172,669.894529,0.000714,0.899828
1170,0.900537,0.099463,669.895316,0.00071,0.900538
1171,0.901242,0.098758,669.896097,0.000705,0.901243
1172,0.901942,0.098058,669.896873,0.0007,0.901943
1173,0.902637,0.097363,669.897642,0.000695,0.902638
1174,0.903328,0.096672,669.898406,0.000691,0.903329
1175,0.904014,0.095986,669.899164,0.000686,0.904015
1176,0.904696,0.095304,669.899917,0.000681,0.904696
1177,0.905373,0.094627,669.900664,0.000677,0.905373
1178,0.906045,0.093955,669.901405,0.000672,0.906045
1179,0.906713,0.093287,669.902141,0.000668,0.906713
1180,0.907376,0.092624,669.902871,0.000663,0.907376
1181,0.908035,0.091965,669.903596,0.000659,0.908035
1182,0.908689,0.091311,669.904315,0.000654,0.908689
1183,0.909339,0.090661,669.905029,0.00065,0.909339
1184,0.909985,0.090015,669.905738,0.000646,0.909985
